label,raw_label,most_similar_label,cosine_similarity
manhole cover,manhole cover,,
modem,modem,laptop,0.5108977556228638
tub,tub,bathtub,0.7819672226905823
tray,tray,refrigerator,0.5380393862724304
balance beam,balance beam,,
bagel,bagel,pizza,0.5243498086929321
prayer rug,prayer rug,,
kimono,kimono,lampshade,0.4659058451652527
hot pot,hot pot,,
whiskey jug,whiskey jug,,
knee pad,knee pad,,
book jacket,book jacket,,
spindle,spindle,coil,0.5567952990531921
ski mask,ski mask,,
beer bottle,beer bottle,,
crash helmet,crash helmet,,
bottlecap,bottlecap,saltshaker,0.46095630526542664
tile roof,tile roof,,
mask,mask,cloak,0.5193217992782593
maillot,maillot,overskirt,0.5410006642341614
petri dish,Petri dish,,
football helmet,football helmet,,
bathing cap,bathing cap,,
teddy bear,teddy bear,,
holster,holster,revolver,0.5503153800964355
pop bottle,pop bottle,,
photocopier,photocopier,printer,0.5746568441390991
vestment,vestment,breastplate,0.3787561058998108
crossword puzzle,crossword puzzle,,
golf ball,golf ball,,
trifle,trifle,consomme,0.37865889072418213
suit,suit,wig,0.2705834209918976
water tower,water tower,,
feather boa,feather boa,,
cloak,cloak,mask,0.5193217992782593
red wine,red wine,,
drumstick,drumstick,maraca,0.47590816020965576
shield,shield,cloak,0.4617994427680969
christmas stocking,Christmas stocking,,
hoopskirt,hoopskirt,,
menu,menu,restaurant,0.5196681618690491
stage,stage,scale,0.3135269582271576
bonnet,bonnet,grille,0.5511677861213684
meat loaf,meat loaf,,
baseball,baseball,basketball,0.6411849856376648
face powder,face powder,,
scabbard,scabbard,breastplate,0.5461283922195435
sunscreen,sunscreen,lotion,0.6381957530975342
beer glass,beer glass,,
hen-of-the-woods,hen-of-the-woods,,
guacamole,guacamole,burrito,0.5267931818962097
lampshade,lampshade,wig,0.5077735185623169
wool,wool,angora,0.5434457063674927
hay,hay,corn,0.5384114980697632
bow tie,bow tie,,
mailbag,mailbag,mailbox,0.3875601887702942
water jug,water jug,,
bucket,bucket,tub,0.47971585392951965
dishrag,dishrag,saltshaker,0.5005244016647339
soup bowl,soup bowl,,
eggnog,eggnog,potpie,0.41759583353996277
mortar,mortar,projectile,0.3358437418937683
trench coat,trench coat,,
paddle,paddle,canoe,0.6400002837181091
chain,chain,restaurant,0.39005622267723083
swab,swab,syringe,0.4287715554237366
mixing bowl,mixing bowl,,
potpie,potpie,carbonara,0.5877224802970886
wine bottle,wine bottle,,
shoji,shoji,kimono,0.44308438897132874
bulletproof vest,bulletproof vest,,
drilling platform,drilling platform,,
binder,binder,tray,0.45074155926704407
cardigan,cardigan,overskirt,0.537300169467926
sweatshirt,sweatshirt,backpack,0.5376055836677551
pot,pot,wok,0.3746221363544464
birdhouse,birdhouse,quilt,0.5082885026931763
hamper,hamper,clog,0.3340710699558258
ping-pong ball,ping-pong ball,,
pencil box,pencil box,,
pay-phone,pay-phone,,
consomme,consomme,potpie,0.5802732706069946
apron,apron,tray,0.4222801625728607
punching bag,punching bag,,
backpack,backpack,wallet,0.5492209196090698
groom,groom,mortarboard,0.3182039260864258
bearskin,bearskin,chiton,0.47730493545532227
pencil sharpener,pencil sharpener,,
broom,broom,shovel,0.527963399887085
mosquito net,mosquito net,,
abaya,abaya,overskirt,0.4306890666484833
mortarboard,mortarboard,sweatshirt,0.4178674817085266
poncho,poncho,sombrero,0.4865674376487732
crutch,crutch,screwdriver,0.3250640332698822
polaroid camera,Polaroid camera,,
space bar,space bar,,
cup,cup,goblet,0.4297175407409668
racket,racket,maraca,0.28034430742263794
traffic light,traffic light,,
quill,quill,paintbrush,0.5016017556190491
radio,radio,television,0.6114971041679382
dough,dough,spatula,0.518966794013977
cuirass,cuirass,,
military uniform,military uniform,,
lipstick,lipstick,lotion,0.47417980432510376
shower cap,shower cap,,
monitor,monitor,stopwatch,0.28143712878227234
oscilloscope,oscilloscope,modem,0.4214695394039154
mitten,mitten,ladybug,0.4531852900981903
brassiere,brassiere,nipple,0.4754219949245453
french loaf,French loaf,,
vase,vase,teapot,0.6208178400993347
milk can,milk can,,
rugby ball,rugby ball,,
paper towel,paper towel,,
earthstar,earthstar,,
envelope,envelope,mailbox,0.4371315538883209
miniskirt,miniskirt,bikini,0.5207105278968811
cowboy hat,cowboy hat,,
trolleybus,trolleybus,streetcar,0.47518667578697205
perfume,perfume,lotion,0.5071074366569519
bathtub,bathtub,tub,0.7819672226905823
hotdog,hotdog,pizza,0.5737497806549072
coral fungus,coral fungus,,
bullet train,bullet train,,
pillow,pillow,tub,0.501036524772644
toilet tissue,toilet tissue,,
cassette,cassette,ipod,0.4718974530696869
carpenter's kit,carpenter's kit,,
ladle,ladle,spatula,0.5733891129493713
stinkhorn,stinkhorn,cardoon,0.5806318521499634
lotion,lotion,sunscreen,0.6381957530975342
hair spray,hair spray,,
academic gown,academic gown,,
dome,dome,planetarium,0.4179764688014984
crate,crate,carton,0.5061734318733215
wig,wig,lampshade,0.5077735185623169
burrito,burrito,cheeseburger,0.6729996800422668
pill bottle,pill bottle,,
chain mail,chain mail,,
theater curtain,theater curtain,,
window shade,window shade,,
barrel,barrel,corn,0.3035070598125458
washbasin,washbasin,tub,0.5581591129302979
ballpoint,ballpoint,quill,0.49974197149276733
basketball,basketball,volleyball,0.7170256972312927
bath towel,bath towel,,
cowboy boot,cowboy boot,,
gown,gown,overskirt,0.5651047825813293
window screen,window screen,,
agaric,agaric,,
cellular telephone,cellular telephone,,
nipple,nipple,brassiere,0.4754219949245453
barbell,barbell,dumbbell,0.6749532222747803
mailbox,mailbox,envelope,0.4371315538883209
lab coat,lab coat,,
fire screen,fire screen,,
minibus,minibus,jeep,0.6241374015808105
packet,packet,carton,0.4334906339645386
maze,maze,castle,0.32808780670166016
pole,pole,flagpole,0.34987780451774597
horizontal bar,horizontal bar,,
sombrero,sombrero,poncho,0.4865674376487732
pickelhaube,pickelhaube,,
rain barrel,rain barrel,,
wallet,wallet,purse,0.6020283102989197
cassette player,cassette player,,
comic book,comic book,,
piggy bank,piggy bank,,
street sign,street sign,,
bell cote,bell cote,,
fountain pen,fountain pen,,
windsor tie,Windsor tie,,
volleyball,volleyball,basketball,0.7170256972312927
overskirt,overskirt,gown,0.5651047825813293
sarong,sarong,cardigan,0.4691992700099945
purse,purse,wallet,0.6020283102989197
bolo tie,bolo tie,,
bib,bib,jersey,0.4971754848957062
parachute,parachute,balloon,0.5213617086410522
sleeping bag,sleeping bag,,
television,television,radio,0.6114971041679382
swimming trunks,swimming trunks,,
measuring cup,measuring cup,,
espresso,espresso,coffeepot,0.41121917963027954
pizza,pizza,burrito,0.6371643543243408
breastplate,breastplate,scabbard,0.5461283922195435
shopping basket,shopping basket,,
wooden spoon,wooden spoon,,
saltshaker,saltshaker,beaker,0.5078486204147339
chocolate sauce,chocolate sauce,,
ballplayer,ballplayer,baseball,0.5921314358711243
goblet,goblet,vase,0.5534815192222595
gyromitra,gyromitra,,
stretcher,stretcher,ambulance,0.5142790675163269
water bottle,water bottle,,
dial telephone,dial telephone,,
soap dispenser,soap dispenser,,
jersey,jersey,sweatshirt,0.5083307027816772
school bus,school bus,,
jigsaw puzzle,jigsaw puzzle,,
plastic bag,plastic bag,,
reflex camera,reflex camera,,
diaper,diaper,bassinet,0.4658900797367096
band aid,Band Aid,,
ice lolly,ice lolly,,
velvet,velvet,angora,0.5070353746414185
tennis ball,tennis ball,,
gasmask,gasmask,sunglasses,0.4766387641429901
doormat,doormat,dishrag,0.3159305453300476
loafer,Loafer,sandal,0.4453780949115753
ice cream,ice cream,,
pretzel,pretzel,bagel,0.46964022517204285
quilt,quilt,birdhouse,0.5082885026931763
maillot,maillot,overskirt,0.5410006642341614
tape player,tape player,,
clog,clog,hamper,0.3340710699558258
ipod,iPod,laptop,0.5077642202377319
bolete,bolete,stinkhorn,0.5520479083061218
scuba diver,scuba diver,,
pitcher,pitcher,ballplayer,0.5736907124519348
matchstick,matchstick,ballpoint,0.38644248247146606
bikini,bikini,miniskirt,0.5207105278968811
sock,sock,sweatshirt,0.4717490077018738
cd player,CD player,,
lens cap,lens cap,,
thatch,thatch,ringlet,0.35052937269210815
vault,vault,padlock,0.29340487718582153
beaker,beaker,saltshaker,0.5078486204147339
bubble,bubble,balloon,0.35326269268989563
cheeseburger,cheeseburger,burrito,0.6729996800422668
parallel bars,parallel bars,,
flagpole,flagpole,obelisk,0.5141090750694275
coffee mug,coffee mug,,
rubber eraser,rubber eraser,,
stole,stole,purse,0.32040777802467346
carbonara,carbonara,potpie,0.5877224802970886
dumbbell,dumbbell,barbell,0.6749532222747803
